id,extracted_data,usage_data,missing_feature_count_history,low_confidence_feature_count_history
VL-EPU-3310-EAP,{},"{'generate_missing_features': [{'input_tokens': 997, 'output_tokens': 30, 'time_taken': 1.807785987854004}], 'store_and_chunk_data': [{'input_tokens': 0, 'output_tokens': 0, 'time_taken': 0.7391891479492188}], 'extract_features': [{'input_tokens': 2693, 'output_tokens': 756, 'time_taken': 8.031445026397705}]}","[1, 1]","[0, 0]"
TMCM-0960-MOTIONPY,{},"{'generate_missing_features': [{'input_tokens': 1187, 'output_tokens': 244, 'time_taken': 4.133352994918823}], 'store_and_chunk_data': [{'input_tokens': 0, 'output_tokens': 0, 'time_taken': 0.7016682624816895}], 'extract_features': [{'input_tokens': 3036, 'output_tokens': 731, 'time_taken': 7.9027111530303955}]}","[10, 10]","[0, 0]"
ABX00043,{},"{'store_and_chunk_data': [{'input_tokens': 0, 'output_tokens': 0, 'time_taken': 0.8411679267883301}], 'extract_features': [{'input_tokens': 4224, 'output_tokens': 667, 'time_taken': 7.199520111083984}]}",[11],[0]
102110642,{},"{'store_and_chunk_data': [{'input_tokens': 0, 'output_tokens': 0, 'time_taken': 1.3259687423706055}], 'extract_features': [{'input_tokens': 4264, 'output_tokens': 592, 'time_taken': 6.468539237976074}]}",[12],[0]
VL-EPU-3311-EAP,{},"{'generate_missing_features': [{'input_tokens': 1085, 'output_tokens': 30, 'time_taken': 1.77885103225708}], 'store_and_chunk_data': [{'input_tokens': 0, 'output_tokens': 0, 'time_taken': 0.9335167407989502}], 'extract_features': [{'input_tokens': 3007, 'output_tokens': 832, 'time_taken': 8.512645959854126}]}","[1, 1]","[0, 0]"
