id,extracted_data,usage_data,missing_feature_count_history,low_confidence_feature_count_history
MYC-J3352-V2-256N256D-80-I,{},"{'generate_missing_features': [{'input_tokens': 1074, 'output_tokens': 123, 'time_taken': 3.4467787742614746}], 'store_and_chunk_data': [{'input_tokens': 0, 'output_tokens': 0, 'time_taken': 0.9752068519592285}], 'extract_features': [{'input_tokens': 4026, 'output_tokens': 723, 'time_taken': 7.58835506439209}]}","[5, 5]","[0, 0]"
102010048,{},"{'store_and_chunk_data': [{'input_tokens': 0, 'output_tokens': 0, 'time_taken': 1.3390121459960938}], 'extract_features': [{'input_tokens': 2825, 'output_tokens': 749, 'time_taken': 7.339840650558472}]}",[9],[0]
LAPIS DEVELOPMENT KIT,{},"{'store_and_chunk_data': [{'input_tokens': 0, 'output_tokens': 0, 'time_taken': 1.0328729152679443}], 'extract_features': [{'input_tokens': 4213, 'output_tokens': 625, 'time_taken': 6.572710990905762}]}",[14],[0]
110061363,{},"{'store_and_chunk_data': [{'input_tokens': 0, 'output_tokens': 0, 'time_taken': 0.958604097366333}], 'extract_features': [{'input_tokens': 3868, 'output_tokens': 668, 'time_taken': 7.050151109695435}]}",[6],[0]
ED-CM4IO-0108-C,{},"{'generate_missing_features': [{'input_tokens': 1066, 'output_tokens': 77, 'time_taken': 3.2861528396606445}], 'store_and_chunk_data': [{'input_tokens': 0, 'output_tokens': 0, 'time_taken': 1.2668249607086182}], 'extract_features': [{'input_tokens': 3855, 'output_tokens': 778, 'time_taken': 8.94680905342102}]}","[3, 3]","[0, 0]"
