id,extracted_data,usage_data,missing_feature_count_history,low_confidence_feature_count_history
KEG1-M-002,{},"{'store_and_chunk_data': [{'input_tokens': 0, 'output_tokens': 0, 'time_taken': 14.922136068344116}], 'extract_features': [{'input_tokens': 4292, 'output_tokens': 513, 'time_taken': 6.144911766052246}]}",[17],[0]
102110477,{},"{'extract_features': [{'input_tokens': 4237, 'output_tokens': 670, 'time_taken': 8.078105211257935}]}",[11],[0]
68004-0000-99-0,{},"{'generate_missing_features': [{'input_tokens': 1040, 'output_tokens': 173, 'time_taken': 2.9465010166168213}], 'store_and_chunk_data': [{'input_tokens': 0, 'output_tokens': 0, 'time_taken': 6.977073907852173}], 'extract_features': [{'input_tokens': 4282, 'output_tokens': 656, 'time_taken': 8.577847003936768}]}","[7, 7]","[0, 0]"
PCE-3028G2-00A1E,{},"{'generate_missing_features': [{'input_tokens': 1075, 'output_tokens': 100, 'time_taken': 2.641690969467163}], 'store_and_chunk_data': [{'input_tokens': 0, 'output_tokens': 0, 'time_taken': 6.283563137054443}], 'extract_features': [{'input_tokens': 4142, 'output_tokens': 760, 'time_taken': 10.253565788269043}]}","[4, 4]","[0, 0]"
ITA-1610-00A1E,{},"{'generate_missing_features': [{'input_tokens': 1020, 'output_tokens': 79, 'time_taken': 2.9302539825439453}], 'store_and_chunk_data': [{'input_tokens': 0, 'output_tokens': 0, 'time_taken': 6.1810197830200195}], 'extract_features': [{'input_tokens': 4303, 'output_tokens': 726, 'time_taken': 9.713047981262207}]}","[3, 3]","[0, 0]"
